specification,term,estimate,se_cluster,p_cluster,ci95_lo,ci95_hi,N,G,weight,cluster,estimator,dropped_economy
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017740715237611213,0.004918638654985348,0.00030995530034874874,-0.027381247001382496,-0.00810018347383993,95720,92,w_equal,economy,WLS LPM,SLV
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017497857398215688,0.005030055886959822,0.000503926316494882,-0.027356766936656937,-0.0076389478597744375,95718,92,w_equal,economy,WLS LPM,SRB
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017619161397153162,0.004931060838424064,0.0003527832642234819,-0.027284040640464326,-0.007954282153841998,95724,92,w_equal,economy,WLS LPM,SWZ
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.019696669442386516,0.004454521788148305,9.791612168320055e-06,-0.028427532147157195,-0.01096580673761584,95741,92,w_equal,economy,WLS LPM,TCD
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.01743745570486166,0.004990375648364331,0.0004754542906961172,-0.027218591975655747,-0.007656319434067572,95725,92,w_equal,economy,WLS LPM,TGO
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.01726101821083058,0.004936554651003173,0.00047127749526178106,-0.026936665326796803,-0.007585371094864362,95725,92,w_equal,economy,WLS LPM,THA
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017475154514232955,0.004931892005595919,0.0003951585076390056,-0.027141662845200955,-0.007808646183264954,95712,92,w_equal,economy,WLS LPM,TJK
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017480610969509473,0.004936103323266731,0.00039804189214196525,-0.027155373483112265,-0.007805848455906681,95714,92,w_equal,economy,WLS LPM,TUN
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.015556218709548089,0.004665100920416652,0.0008542394559535614,-0.024699816513564725,-0.006412620905531451,95736,92,w_equal,economy,WLS LPM,TUR
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.01713687634265141,0.005014372780247455,0.0006318717871520414,-0.02696504699193642,-0.007308705693366398,95712,92,w_equal,economy,WLS LPM,TZA
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.018475335913983277,0.004907961538990323,0.00016697593786194528,-0.02809494053040431,-0.008855731297562244,95716,92,w_equal,economy,WLS LPM,UGA
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017130734211363716,0.004944080362978702,0.0005304325994212949,-0.02682113172280197,-0.007440336699925462,95727,92,w_equal,economy,WLS LPM,UKR
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017480259980357526,0.00493146810784259,0.00039315544083942997,-0.027145937471729005,-0.007814582488986048,95712,92,w_equal,economy,WLS LPM,UZB
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017401984484704328,0.0049268454434538665,0.00041231339046622867,-0.027058601553873907,-0.00774536741553475,95712,92,w_equal,economy,WLS LPM,VEN
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.01778837349119136,0.00492938190555916,0.0003078042824698529,-0.027449962026087314,-0.008126784956295409,95715,92,w_equal,economy,WLS LPM,VNM
